,open,high,low,close,volume,vnindex,vn30,hnx,gold,oil,month,day,weekday,hour,minute,minute_segment,monday_morning,friday_afternoon,pre_holiday_afternoon,post_holiday_morning,return,log_return,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,target
2012-04-23,7.82,7.91,7.79,7.82,404510.0,465.17,533.6,77.81,1631.9000244140625,118.70999908447266,4,23,0,0,0,0,1,0,0,1,0.0,0.0,5040316.783962349,12812550.0,0.09699397645359698,23298.705661157837,-2.1551020408163257,0.4869268793584253,409602.6640780951,7.492830533512896,62.33073417212871,974.239945186609,6.7555,7.240039988029883,6.270960011970116,14.345051825324063,0.9070871442458432,0.0,0.0,6.726000000000001,6.945,6.507000000000001,6.512042818911682,1.4680365296803657,1.0,0.0,6.39,7.55,6.97,17.171193842054624,0.655172413793104,0.2224456489170457,2.6471205351006146,0.28852530928125386,0.20590639642755085,0.08261891285370301,6.735833333333335,7.181923076923076,7.601851241112328,6.376852386107031,1.09,0.8566666666666661,0.23333333333333395,0.49432850779340504,28.354159975189887,0.13450000000000006,-440.63506730401195,-610.5967932153198,169.9617259113079,7.635,6.515000000000001,6.7425,5.545,98.97371459228992,41.65459900730491,32.40676258206891,19.678511841534597,137.01057761532968,5.545,29.478379247015614,52.0,4.0,48.0,7.235760208669284,7.1455453842125305,0.0,0.0,56.22438458801182,0.39637001414691375,0.363833638143321,0.3600016281910175,24.990967932980315,59.005659584304716,58.13953488372097,56.122269203664594,-41.86046511627903,0.5702105263157886,7.153965785381026,4.764202905127991,3.463146986513994,1.3010559186139972,18.878575276505774,16.92734384528768,1.951231431218094,6.833936346930275,0.7042253521126751,0.7017572658646554,41.26126126126126,0.0
2012-04-24,7.84,7.84,7.7,7.77,643880.0,465.65,534.89,78.57,1643.0,118.16000366210938,4,24,1,0,0,0,0,0,0,0,-0.07000000000000028,-0.008968669982760247,4838061.783962351,12408040.0,0.17197852161602398,18115.34770956386,3.973324192090732,0.7707357502220481,408570.750812789,7.543949073158117,62.267771569836974,971.7546392039901,6.773000000000001,7.2732839193897805,6.272716080610221,14.772889986410153,0.7768427979234964,0.0,0.0,6.778999999999999,6.989,6.569,6.195604071396961,1.1452380952380952,1.0,0.0,6.39,7.55,6.97,17.12682710763325,0.5689655172413793,0.2152010840253411,2.807815947428334,0.3122534806105328,0.22717581326414726,0.08507766734638555,6.749166666666667,7.221538461538462,7.627720280941201,6.4037522093583625,1.1129568106312295,0.8239202657807307,0.2890365448504988,0.47382159200661017,28.05859161714816,-0.22300000000000075,-394.7560083951212,-571.0034917140379,176.24748331891664,7.72,6.515000000000001,6.7425,5.57,99.48685729614496,40.75084089058659,34.04534932620359,18.737325649996702,100.82116788321183,5.57,29.478379247015614,48.0,0.0,48.0,7.36826898362897,7.1455453842125305,0.0,0.0,56.70259769574265,0.43214815619372887,0.36764926614982896,0.34597407116533824,24.8342646590976,57.48912252104055,59.52380952380953,56.26656934796472,-40.47619047619047,0.60825,2.22551928783382,5.102714707079565,3.7910605306271083,1.311654176452457,16.605561061871274,16.8629872886044,-0.2574262267331271,6.836437113704124,-1.3986013986014068,-1.4084739881738972,40.90090090090091,0.0
2012-04-25,7.89,7.89,7.72,7.77,560280.0,472.87,542.78,79.55,1641.4000244140625,119.12000274658203,4,25,2,0,0,0,0,0,0,0,-0.1200000000000001,-0.015325970478226925,4838061.783962348,11764160.0,0.16688347566138226,15527.44089391188,0.5544944858603793,0.7080709952826963,404453.87101739255,7.576370266076645,58.58257178818034,971.7546392039901,6.7875,7.2997841008659154,6.275215899134084,15.094927465662344,0.7366850733705202,0.0,0.0,6.838333333333334,7.0443333333333324,6.632333333333333,6.024859858640005,0.9652103559870577,0.0,0.0,6.39,7.55,6.97,17.090239410681402,0.5517241379310349,0.205680975622807,2.914129450897513,0.3536102703344923,0.2524627046782163,0.10114756565627603,6.789166666666667,7.273076923076923,7.649609468488709,6.405696490146632,1.089403973509934,0.8543046357615892,0.23509933774834468,0.45315483230585807,27.845615397597673,-0.1374999999999993,-351.9788714628172,-530.196131101803,178.21725963898575,7.805,6.515000000000001,6.7425,5.65,99.74342864807247,39.91163692506244,32.69800314420599,17.99579517153167,70.85835564237972,5.65,29.478379247015614,44.0,0.0,44.0,7.484876705593494,7.1455453842125305,0.0,0.0,55.39911074368898,0.33462606703970915,0.3877147457934506,0.3730658833622002,24.53573471781789,51.43642779429193,54.76190476190477,57.47508305647843,-45.23809523809523,0.6761904761904756,-3.107344632768358,5.701211817089585,4.1730907879196035,1.5281210291699816,22.493082573527087,17.98900634558894,4.504076227938146,6.837802409227831,-0.28368794326240065,-0.2840911001603885,39.99999999999999,0.0
2012-04-26,7.84,7.84,7.74,7.74,507420.0,470.21,538.1,78.74,1659.5999755859375,119.91999816894531,4,26,3,0,0,0,0,0,0,0,-0.09999999999999964,-0.012837146760680263,4607358.254550582,12324440.0,0.17911317885120184,11344.877909067369,-1.66508087535678,0.42547904225170374,404453.87101739255,7.6071435412311805,54.62689172344166,971.7546392039901,6.7995,7.300078665146648,6.298921334853352,14.723984562001558,0.4905109819280682,0.0,0.0,6.877,7.095000000000001,6.659000000000001,6.339973825796132,0.3004587155963288,0.0,0.0,6.39,7.55,6.97,17.06007794690786,0.3448275862068968,0.19211287806052624,3.0586488065909188,0.354062338974809,0.27278263153753485,0.08127970743727414,6.800833333333333,7.311538461538461,7.663515704105831,6.430459713098733,1.0848056537102477,0.9257950530035333,0.15901060070671447,0.4311719102880364,27.618158245540535,-0.4095000000000004,-327.17575196161806,-489.9888678928798,162.81311593126173,7.885,6.515000000000001,6.5825000000000005,5.705,99.17627133762751,38.94269405485153,31.904809840442105,18.59888565445208,19.188921859545278,5.705,29.478379247015614,40.0,0.0,40.0,7.587491500922274,7.1455453842125305,0.0,0.0,55.39911074368897,0.3346260670397086,0.3671334300910489,0.3741658140114428,22.2155416573918,40.66741845868059,54.76190476190477,56.349206349206355,-45.23809523809523,0.7027727272727269,-1.9718309859154886,5.662002574464766,4.470873145228636,1.1911294292361294,22.38135517953475,18.867476112378103,3.5138790671566476,6.945705333717652,-3.4139402560455223,-3.473576425196878,39.99999999999999,0.0
2012-04-27,7.86,7.96,7.77,7.86,587740.0,473.77,541.2,79.86,1664.0,119.83000183105469,4,27,4,0,0,0,0,0,0,0,0.0,0.0,4099938.254550582,11817020.0,0.12626147818812314,17084.18106491486,-0.5890694883822359,0.44938521616420024,402494.720438242,7.6297220801240515,57.76437407694922,968.0026907900752,6.821,7.301370690196643,6.340629309803356,14.085051757708358,0.5926367926023625,0.0,0.0,6.903333333333333,7.131333333333333,6.675333333333333,6.605504587155969,0.514619883040937,0.0,0.0,6.39,7.55,6.97,17.00630406098813,0.44827586206896586,0.1819015902544736,3.0140782220375377,0.3503816253571097,0.28830243030144986,0.06207919505565984,6.844166666666666,7.341538461538462,7.693744057320319,6.478573808424753,1.1093750000000004,0.9335937499999997,0.17578125000000078,0.4084219412159308,27.32511786805596,-0.31099999999999994,-302.7591415501192,-450.54604794155006,147.78690639143088,8.02,6.515000000000001,6.625,5.705,98.58914469497829,37.78386267964231,30.868008449463986,19.43878131401197,5.656886069257361,5.705,29.478379247015614,36.0,0.0,36.0,7.677792520811601,7.1455453842125305,0.0,0.0,54.31308815211916,0.03762096468476332,0.23562436625472705,0.33015751404640886,21.024891396512878,43.01446110226261,46.052631578947455,51.858813700919,-53.94736842105255,0.7038260869565205,-1.398601398601406,5.561199637157074,4.688938443614324,0.8722611935427498,20.622133845785424,19.21840765905957,1.403726186725855,7.046369639331683,1.767304860088359,1.751869620897395,39.45945945945948,0.0
2012-05-02,7.91,7.91,7.77,7.86,333090.0,472.46,539.72,79.35,1653.4000244140625,118.19999694824219,5,2,2,0,0,0,0,0,0,1,-0.04999999999999982,-0.006341175338447247,4069004.5703400588,12404760.0,0.1785319698251249,24741.455198498435,2.0380434782608576,0.5758523167032527,411606.9685002575,7.67344582182615,54.88341724105617,968.0026907900752,6.8245000000000005,7.304353102522012,6.344646897477989,14.062659609407621,0.5161507760588965,0.0,0.0,6.928,7.153999999999999,6.702000000000001,6.524249422632768,0.30530973451327337,0.0,0.0,6.39,7.55,6.97,16.997582240457177,0.38793103448275873,0.1787114312290262,3.0797176085442044,0.3163824152537025,0.29391842729190043,0.022463987961802045,6.871666666666666,7.370769230769231,7.719321894655654,6.524605378171067,1.133333333333334,0.8999999999999998,0.23333333333333417,0.3844549478348198,27.114586491584895,-0.2245000000000008,-278.404350418184,-412.0238340258868,133.61948360770282,8.02,6.535,6.6825,5.705,97.35786636981837,37.103868152779114,32.840974172211965,18.36745486954456,27.559798290321506,5.705,29.478379247015614,32.0,0.0,32.0,7.72,7.1455453842125305,0.0,0.0,57.3167883596625,0.32728585291135354,0.23317762821194185,0.2786451415192393,19.47447111348974,44.91067632401859,45.61403508771931,48.809523809523846,-54.38596491228069,0.6216250000000008,4.113475177304965,5.00688095900246,4.752526946691952,0.25435401231050836,19.057968388988474,19.18631980504535,-0.1283514160568764,7.2964589097178,-1.013024602026058,-1.0181906145119601,41.62162162162164,0.0
2012-05-03,7.86,7.86,7.72,7.82,270240.0,468.8,536.1,79.69,1634.199951171875,116.08000183105469,5,3,3,0,0,0,0,0,0,0,-0.040000000000000036,-0.005102051883895342,4164173.141768632,12737850.0,0.14531362736566347,83468.71874157009,0.8403468340569618,0.27078062658260416,411606.9685002575,7.712915374447215,49.99587274864074,968.0026907900752,6.824499999999999,7.30435310252201,6.344646897477987,14.062659609407627,0.5890897647119823,0.0,0.0,6.959999999999999,7.161999999999999,6.758,5.8045977011494125,0.37623762376237746,0.0,0.0,6.39,7.55,6.97,16.99758224045718,0.44827586206896586,0.17284028810612356,3.2428405610803734,0.29411656784785745,0.29395805540309183,0.00015851244476561277,6.897500000000001,7.396538461538461,7.7348108339394,6.570930905713951,1.0733944954128443,1.0137614678899083,0.05963302752293598,0.36294205265834184,26.891909948356222,-0.08449999999999847,-259.44388828803164,-375.30938339999716,115.86549511196552,7.915000000000001,6.585,6.7075,5.705,64.12969732820522,36.626067053391296,32.863292568551586,17.53486725891701,11.880543575555734,5.705,29.478379247015614,28.000000000000004,44.0,-15.999999999999996,7.72,8.34,0.0,1.0,59.87372971896686,0.5738670966669033,0.3129246380876734,0.26057554418478074,18.623398535183075,49.42084354306325,61.40350877192983,51.02339181286553,-38.59649122807017,0.48020000000000085,5.689900426742525,4.63652180476814,4.72932591830719,-0.09280411353904938,17.28900097417155,18.806856038870592,-1.5178550646990416,7.609474484415841,1.023391812865504,1.0181906145119601,41.62162162162164,1.0
2012-05-04,7.77,8.05,7.77,7.89,588220.0,476.32,542.5,81.27,1644.699951171875,113.18000030517578,5,4,4,0,0,0,0,0,0,0,0.1200000000000001,0.015325970478226925,4279990.284625775,12467610.0,0.137728719988906,83178.5303499172,4.920585280163952,0.30909791472917597,410231.701324685,7.767854846653406,52.28900705318564,963.0764684450876,6.809,7.252842314341478,6.365157685658522,13.036930954368579,0.636309671352004,0.0,0.0,6.986999999999999,7.181,6.793000000000001,5.5531701731787475,0.3530927835051521,0.0,0.0,6.39,7.55,6.97,17.036275517697167,0.46551724137931033,0.18955625929551118,3.3530527980508826,0.25257931910712017,0.2856823081438975,-0.03310298903677733,6.913333333333333,7.428846153846154,7.758686090256415,6.606417505290695,0.9871244635193132,0.9699570815450642,0.01716738197424894,0.34593027836395007,26.695645851319345,-0.37900000000000045,-240.87306129809713,-342.454313539451,101.58125224135387,7.875,6.585,6.7125,5.705,32.06484866410261,37.25272717733837,41.02087782496781,15.4042567464695,38.340486409155865,5.705,29.478379247015614,24.0,40.0,-16.0,7.72,8.3286,0.0,0.0,66.7794721857953,1.0,0.633717649859419,0.3932733053863447,18.045908416360124,49.23771814432685,92.75362318840583,66.59038901601832,-7.246376811594183,0.32242307692307826,14.432989690721643,3.9795569238040285,4.579372119406558,-0.5998151956025293,12.05295417819886,17.456075666736247,-5.403121488537387,7.73156123845149,0.28943560057885787,0.2890175422233243,40.90090090090091,0.0
2012-05-07,8.03,8.08,7.94,8.03,635210.0,486.31,552.3,83.79,1638.5999755859375,113.16000366210938,5,7,0,0,0,0,1,0,0,1,0.0,0.0,4195958.856054345,13055830.0,0.1715719740595878,109340.42601421473,3.017041310257961,0.5246008654618874,415497.0977441223,7.853387166436422,49.809481715552735,963.0764684450876,6.808999999999999,7.2528423143414775,6.365157685658521,13.03693095436858,0.5912486229711771,0.0,0.0,6.982333333333332,7.157333333333334,6.807333333333334,5.012650976273448,0.23619047619047326,0.0,0.0,6.39,7.27,6.83,12.924071082390952,0.5681818181818182,0.19160063336596014,3.376065154793806,0.22673014338025066,0.27389187519116814,-0.047161731810917484,6.951666666666667,7.467307692307693,7.800426691755428,6.637793986380273,1.0595744680851062,0.9319148936170208,0.1276595744680854,0.34048961036287584,26.47145863948874,-0.06899999999999906,-219.64768538104903,-312.85264733989436,93.20496195884533,7.890000000000001,6.65,6.75,5.705,22.037895940860384,38.060191816607116,41.1581896857356,14.252360304213035,41.94970802049806,5.705,29.478379247015614,20.0,36.0,-16.0,7.72,8.304256,0.0,0.0,68.58635155150543,1.0,0.8579556988889679,0.6015326622786867,17.215593914125847,51.49742321170892,93.5897435897435,82.58229185002638,-6.410256410256499,0.26870370370370367,17.945007235890017,3.565499651006051,4.376597625726457,-0.8110979747204059,6.059644131495228,15.176789359688044,-9.117145228192816,7.79492322690441,-0.5772005772005762,-0.5788728176244762,42.162162162162154,0.0
2012-05-08,8.08,8.2,8.03,8.03,801940.0,488.07,557.02,83.64,1604.0,112.7300033569336,5,8,1,0,0,0,0,0,0,0,-0.05000000000000071,-0.006207344574333806,4377447.4274829095,13691040.0,0.11078983055135905,155588.7080121842,10.800873262093535,1.3434623970147095,426768.2511028042,7.909345667135139,60.05596645725998,963.0764684450876,6.809,7.252842314341478,6.365157685658522,13.036930954368579,0.5912486229711761,0.0,0.0,6.956666666666666,7.1196666666666655,6.793666666666667,4.686152371825569,0.29550102249488747,0.0,0.0,6.39,7.27,6.83,12.92407108239095,0.5681818181818182,0.20844057002936417,3.398921710235321,0.21107360805714492,0.2613282217643635,-0.050254613707218565,6.964166666666667,7.515000000000001,7.835745662254593,6.64906850590766,1.1299212598425197,0.7952755905511808,0.3346456692913389,0.34487277214514706,26.225103769782276,0.2709999999999999,-197.80929051679584,-285.8720054746481,88.06271495785228,7.949999999999999,6.835,6.842499999999999,5.705,39.404381356902455,39.45905102846485,46.6112041592344,12.52347762971521,27.02544260757441,5.705,29.478379247015614,16.0,32.0,-16.0,7.72,8.28088576,0.0,0.0,74.27811146763364,1.0,1.0,0.830557782916129,16.521135628249066,46.90118773989743,98.16513761467886,94.83616813094272,-1.8348623853211434,0.2380714285714296,17.690058479532176,3.309996770773646,4.163277454735895,-0.8532806839622489,4.63231035590784,13.067893558932004,-8.435583203024166,7.802703897429968,0.0,0.0,44.68468468468467,1.0
